epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
100,480.502,1.32525,0.38015,0.19184,0.9618,1.35293,0.99384,1,0.995,0.63681,0.93166,0.9375,0.92457,0.8903,1.21621,0.87153,0.06159,0.65277,1.49833,0.000390573,0.000390573,0.000390573
101,486.817,1.35159,0.4648,0.22506,1.00523,1.36188,0.99193,1,0.995,0.63084,0.92966,0.9375,0.92661,0.90655,1.24023,0.85529,0.05375,0.6597,1.49294,0.00037768,0.00037768,0.00037768
102,493.066,1.35661,0.54431,0.21092,0.97432,1.35731,0.99061,1,0.995,0.62672,0.92834,0.9375,0.92875,0.91527,1.24572,0.8396,0.0517,0.6609,1.47999,0.000364786,0.000364786,0.000364786
103,499.245,1.33652,0.51575,0.24508,0.95828,1.36942,0.98989,1,0.995,0.61801,0.92763,0.9375,0.92226,0.91272,1.23889,0.82876,0.05396,0.67887,1.46954,0.000351893,0.000351893,0.000351893
104,505.349,1.32701,0.42264,0.21469,0.92232,1.3509,0.99223,1,0.995,0.62678,0.93,0.9375,0.91034,0.90665,1.30121,0.81921,0.06115,0.73888,1.52102,0.000339,0.000339,0.000339
105,509.505,1.3098,0.55956,0.21507,0.96812,1.36768,0.99345,1,0.995,0.61329,0.93122,0.9375,0.90771,0.90391,1.31297,0.81948,0.06287,0.73417,1.5404,0.000326107,0.000326107,0.000326107
106,513.371,1.32047,0.41691,0.1861,0.94297,1.38177,0.99448,1,0.995,0.62292,0.93236,0.9375,0.90801,0.90433,1.29874,0.81953,0.06462,0.74141,1.53251,0.000313214,0.000313214,0.000313214
107,517.133,1.36616,0.38141,0.21423,0.94183,1.35149,0.99276,1,0.995,0.63332,0.93082,0.9375,0.90125,0.89705,1.25977,0.81615,0.06152,0.71625,1.51172,0.00030032,0.00030032,0.00030032
108,520.984,1.30879,0.30278,0.19515,0.89882,1.35945,0.99211,1,0.995,0.63767,0.93028,0.9375,0.90125,0.89298,1.19715,0.81719,0.05992,0.67889,1.48058,0.000287427,0.000287427,0.000287427
109,524.853,1.32137,0.37826,0.20348,0.91869,1.35502,0.94982,0.99669,0.975,0.65106,0.93102,0.9375,0.89403,0.88146,1.15944,0.81944,0.06289,0.66074,1.46389,0.000274534,0.000274534,0.000274534
